keys and values as lists,*none*,,"(hash-keys h)
(hash-values h)

; also dict-keys and dict-values","(def hkeys (map (fn [p] (first p)) ih))
(def hvals (map (fn [p] (second p)) ih))",*none*
user-defined types,,,,,
defstruct,(defstruct account id balance),,(define-struct account (id (balance #:mutable))),(defstruct account :id :balance),(defstruct account id balance)
struct,"(setq a
  (make-account
    :id 3
    :balance 17.12))",,(define a (make-account 3 17.12)),(def a (struct account 3 17.12)),"(setq a
  (make-account :id 3 :balance 17.12))"
struct getter,(account-id a),,(account-id a),(:id a),(account-id a)
struct setter,(setf (account-balance a) 0),,(set-account-balance! a 0),*none*,(setf (account-balance a) 0)
struct predicate,(account-p a),,(account? a),*none*,(account-p a)
functions,,,,,
define function,(defun add (x y) (+ x y)),,(define (add x y) (+ x y)),(defn add [x y] (+ x y)),(defun add (x y) (+ x y))
can function and variable share name,*yes*,,*no*,*no*,*yes*
optional argument,"(defun add (a &optional b)
  (if (null b) a (+ a b)))",,"(define (add a (b null))
  (if (null? b) a (+ a b)))","(defn add ([a] a) ([a b] (+ a b)))
*no syntax error if called with more than 2 args:*
(defn add [a & [b]]
  (if (nil? b) a (+ a b)))","(defun add (a &optional b)
  (if (null b) a (+ a b)))"
variable number of arguments,"(defun add (a &rest b)
  (if (null b)
    a
    (+ a (eval (cons '+ b)))))",,"(define (add a . b)
  (if (null? b)
    a
    (+ a (apply + b))))","(defn add [a & b]
  (if (nil? b) a (+ a (apply + b))))","(defun add (a &rest b)
  (if (null b)
    a
    (+ a (eval (cons '+ b)))))"
default value,"(defun add (a &optional (b 0))
  (+ a b))",,"*racket:*
(define (add a (b 0)) (+ a b))","(defn add
  ([a] (add a 0))
  ([a b] (+ a b)))",*none*
named parameter,"(defun logarithm (&key number base)
  (/ (log number) (log base)))
 
(logarithm :base 2 :number 8)",,*none*,"(defn logarithm [{x :number b :base}] (/ (Math/log x) (Math/log b)))
(logarithm {:base 2 :number 8})","(defun logarithm
  (&key number &key base)
  (if base
    (/ (log number) (log base))
    (log number)))
 
*order significant, not key names:*
(logarithm :foo 8 :bar 2)"
return multiple values,"(defun sqrts (x)
  (values (sqrt x) (- (sqrt x))))",,"(define (sqrts x)
  (values (sqrt x) (- (sqrt x))))",(defn sqrts [x] (list (Math/sqrt x) (- (Math/sqrt x)))),"values *creates a list:*
(defun sqrts (x)
  (values (sqrt x) (- (sqrt x))))"
assign multiple values to local variables,"(multiple-value-bind (r1 r2)
  (sqrts 3)
  r2)",,"(let-values
  (((r1 r2) (sqrts 3)))
  r2)",(let [[r1 r2] (sqrts 3)] r2),"(multiple-value-bind
  (r1 r2)
  (sqrts 3)
  r2)"
assign multiple values to global variables,"(multiple-value-setq (r1 r2)
  (sqrts 3))",,(define-values (r1 r2) (sqrts 3)),*none*,(multiple-value-setq (r1 r2) (sqrts 3))
convert list to multiple values,(values-list '(1 2 3)),,(apply values '(1 2 3)),*multiple values are lists*,*multiple values are lists*
assign multiple values to list,(multiple-value-list (sqrts 3)),,"(call-with-values
  (lambda () (sqrts 3))
  list)",*multiple values are lists*,*multiple values are lists*
tail call optimization,*yes for sbcl*,,*yes*,*yes with* recur,*no*
lambda,(lambda (x) (* x x)),,(lambda (x) (* x x)),"#(* % %)
(fn [x] (* x x))

; shortcut notation with two args:
#(* %1 %2)",(lambda (x) (* x x))
apply,"((lambda (x) (* x x)) 2)
 
(apply #'(lambda (x) (* x x)) '(2))",,"((lambda (x) (* x x)) 2)
 
(apply (lambda (x) (* x x)) '(2))","(#(* % %) 2)
 
((fn [x] (* x x)) 2)
 
(apply #(* % %) '(2))","((lambda (x) (* x x)) 2)
 
(apply
  #'(lambda (x) (* x x))
  '(2))"
execution control,,,,,
progn,progn prog1 prog2,,"begin *none**none*
*r6rs:*
begin begin0 *none*",do *none**none*,progn prog1 prog2
loop,"(setq i 1)
(loop (print ""hello"")
  (if (> i 10)
    (return)
    (setq i (+ i 1))))",,"*none, use recursion*","(loop [i 1]
  (if (<= i 10)
      (do (println ""hello"")
          (recur (+ i 1)))))","(setq i 1)
(loop (print ""hello"")
      (if (> i 10)
          (return)
          (setq i (+ i 1))))"
do,"(do ((i 1) (sum 0))
  ((> i 100) sum)
  (setq sum (+ sum i))
  (setq i (+ i 1)))
do* *initializes serially*",,*none*,*none*,"(do ((i 1) (sum 0))
    ((> i 100) sum)
    (setq sum (+ sum i))
    (setq i (+ i 1)))
do* *initializes sequentially*"
dotimes,"(dotimes (i 10 nil)
  (format t ""hello~%""))",,*none*,"(dotimes [_ 10]
  (println ""hello""))","(dotimes (i 10 nil)
  (print ""hello\n""))"
if,(if (< x 0) (- x) x),,(if (< x 0) (- x) x),(if (< x 0) (- x) x),(if (< x 0) (- x) x)
when,"(when (< x y)
  (print ""x is less "")
  (print ""than y""))",,"*racket:*
(when (< x y)
  (display ""x is less "")
  (display ""than y""))","(when (< x y)
  (println ""x is less "")
  (println ""than y""))","(when (< x y)
  (print ""x is less "")
  (print ""than y""))"
cond,"(cond ((> x 0) 1)
  ((= x 0) 0)
  (t -1))",,"(cond ((> x 0) 1)
  ((= x 0) 0)
  (else -1))","(cond (> x 0) 1
  (= x 0) 0
  true -1)","(cond ((> x 0) 1)
  ((= x 0) 0)
  (t -1))"
lazy evaluation,,,"(define x (delay (/ 1 0)))
(promise? x)
(+ 1 (force x))",,
continuations,,,"(define cc null)
(+ 1 (call/cc (lambda (x) (set! cc x) 0)))
(cc 5)",,
exceptions,,,,,
error,"(error ""failed"")",,"(error ""failed"")","(throw (Exception. ""failed""))","(error ""failed"")"
handle error,"(handler-case
  (error ""failed"")
  (simple-error (e)
    (format t ""error: ~a"" e)))",,"(with-handlers
  ((exn:fail?
     (lambda (e)
       (printf ""error: ~a""
         (exn-message e)))))
  (error ""failed""))","(try (throw (Exception. ""failure""))
  (catch Exception e
    (printf ""error: %s""
      (.getMessage e))))","(condition-case e
  (error ""failed"")
  (error (message ""error: %s""
    (error-message-string e))))"
define exception,"(define-condition odd-err (error)
  ((num :accessor odd-err-num
        :initarg :num))
  (:report
    (lambda (e s)
      (format s ""odd number: ~a""
        (odd-err-num e)))))",,"(define exn:odd-err? ""odd number"")",,*only symbols and keywords can be thrown and caught*
throw exception,(error 'odd-err :num 7),,(raise exn:odd-err?),"(throw (Exception. ""failed""))",(throw 'odd-err t)
catch exception,"(handler-case (/ 1 0)
  (division-by-zero ()
    (progn
      (format t ""division by zero"")
      nil)))",,"(with-handlers ((exn:fail? (lambda (e) (begin (printf ""division by zero~n"") 
null)))) (/ 1 0))","(try (/ 1 0) (catch ArithmeticException _ (do (println ""division by zero"") 
nil)))",(catch 'failed (throw 'failed nil) t)
restart-case,"(defun halve (l)
  (mapcar (lambda (x)
    (restart-case
      (if (= (rem x 2) 0) (/ x 2)
        (error 'odd-error :num x))
      (round-down () (/ (- x 1) 2))
      (round-up () (/ (+ x 1) 2)))) l))",,,*none*,*none*
invoke-restart,"(handler-bind
  ((odd-err
      (lambda (c)
        (invoke-restart
          'round-down))))
      (halve '(1 2 4 9)))",,,*none*,*none*
finally clause,"(unwind-protect
  (error ""failure"")
  (print ""clean up""))",,*none*,"(try (throw (Exception. ""failure""))
     (finally (println ""clean up"")))","(unwind-protect
  (error ""failure"")
  (print ""clean up""))"
streams,,,,,
standard file handles,"*standard-input*
*standard-output*
*error-output*",,"(current-input-port)
(current-output-port)
(current-error-port)","*in*
*out*
*err*",
end-of-file behavior,"read-line *returns two values, the 2nd set to* T *at end-of-file.*

EOF-OF-FILE *is signaled when reading past end of file.*",,"*Returns the value* eof.

*Use* eof-object? *to test for it.*",.readLine *on a* java.io.Reader *object returns* nil.,
read line from stdin,(setq line (read-line)),,"(let ((s (read-line)))
  #|use s|#)","(let [s (read-line)]
  (comment use s))",
chomp,,,read-line *discards newline*,read-line *discards newline*,
write line to stdout,"(defun println (s)
  (format t ""~a~%"" s))
 
(println ""hello"")",,"(write-string s)
(newline)","(println ""hello"")",
write formatted string to stdout,"(format t ""~s ~d: ~2$~%""
  ""foo""
  7
  13.7)",,"(printf ""~a ~a: ~a~n""
  ""foo""
  7
  (/ (round (* 13.7 100)) 100))","(printf ""%s %d %.2f\n"" ""foo"" 7 13.7)",
open file for reading,"(setq in (open ""/etc/hosts""))",,"(let
  ((f (open-input-file ""/etc/hosts"")))
  #| use f |#)","; f is java.io.Reader object:
(let [f (clojure.java.io/reader ""/etc/hosts"")]
  (.readLine f))",
open file for writing,"(setq out (open ""/tmp/test"" :direction :output :if-exists :supersede))",,"(let
  ((f (open-output-file
        ""/tmp/foo""
        #:exists 'truncate)))
  #| use f |#)","; f is java.io.Writer object:
(let [f (clojure.java.io/writer ""/tmp/foo"")]
  (.write f ""lorem ipsum\n"")
  (.close f))",
open file for appending,"(setq out (open ""/tmp/test"" :direction :output :if-exists :append))",,"(let
  ((f (open-output-file
        ""/tmp/foo""
        #:exists 'append)))
  #| use f |#)","(let [f (clojure.java.io/writer ""/tmp/foo""
      :append true)]
  (.write f ""lorem ipsum\n"")
  (.close f))",
close file,(close in),,"(close-input-port f)
(close-output-port f)",(.close f),
close file implicitly,"(with-open-file (out #P""/tmp/test"" :direction :output) (write-line ""lorem 
ipsum"" out))",,"(call-with-input-file
  ""/etc/hosts""
  (lambda (f) (#| use f |#))

; also call-with-output-file","(with-open [f
    (clojure.java.io/reader ""/etc/hosts"")]
  (comment use f))",
read line,(setq line (read-line f)),,(define line (read-line in)),(.readLine f),
iterate over file by line,,,"(for ([line (in-lines
        (open-input-file
          ""/etc/hosts""))])
  (write-string line)
  (newline))","(loop [line (.readLine f)]
  (if (not= line nil)
    (do (println line)
      (recur (.readLine f)))))",
read file into array of strings,,,"; to list of strings:
(sequence->list (in-lines
    (open-input-file ""/etc/hosts"")))",(vec (line-seq f)),
read file into string,,,"(define s (file->string ""/etc/hosts""))","(let [s (slurp ""/etc/hosts"")]
  (print s))",
write string,,,(write-string s f),(.write f s),
write line,,,"(write-string s f)
(newline f)",(.write f (println-str s)),
flush file handle,,,(flush-output f),(f .flush),
"file handle position

*get, set*",,,"; Evaluates to non-negative integer:
(file-position f)

; Sets next read or write
; to beginning of file:
(file-position f 0)","; arg is characters from current position;
; moving backward not possible:
(.skip f 1000)

; arg is max characters to buffer:
(.mark f 1000000)
; move to position saved when .mark was called:
(.rest f)",
in memory stream,"(setq f (make-string-input-stream
    ""lorem ipsum""))
(read-line f)

(setq f2 (make-string-output-stream)
(write-string ""lorem ipsum)
(get-output-stream-string out)",,"(define f (open-input-string ""lorem ipsum""))
(read-line f)

(define f2 (open-output-string))
(write-string ""lorem ipsum"" f2)
(get-output-string f2)","; use *in* to read from string:
(with-in-str ""lorem ispum""
  (read-line))

; use *out* to write to string:
(with-out-str
  (println ""lorem ipsum""))",
emacs buffers,,,,,
,,,,,emacs lisp
list buffers,,,,,";; list of buffer objects:
(buffer-list)

;; name of first buffer in list:
(buffer-name (car (buffer-list)))

;; name of current buffer:
(buffer-name (current-buffer))"
"current buffer
*get and set*",,,,,";; name of current buffer:
(buffer-name (current-buffer))

;; open in current pane:
(switch-to-buffer ""foo.txt"")

;; open in other pane:
(switch-to-buffer-other-window
  ""bar.txt"")"
clear buffer,,,,,";; current buffer:
(erase-buffer)

;; buffer named ""foo.txt:
(with-current-buffer ""foo.txt""
  (erase-buffer))"
"point
*get and set*",,,,,";; 1-based index of char under cursor:
(point)

;; go to beginning of current buffer:
(goto-char 1)

;; go to end of current buffer:
(goto-char (buffer-size))"
search and set point,,,,,";; Set point to character after string.
;; 1st arg is position in buffer beyond
;;   which search stops.
;; If 2nd arg is true, return nil
;;   on failure, otherwise raise error.
;; 3rd argument is the occurrence
;;   of the string, if negative
;;   search backwards from point.
(search-forward ""lorem"" nil t 1)"
insert at string point,,,,,";; takes 1 or more args:
(insert ""lorem"" "" ipsum"")"
current buffer as string,,,,,(buffer-string)
insert file contents at point,,,,,"(insert-file ""/etc/passwd"")"
"mark
*get and set*",,,,,";; to beginning of current buffer:
(set-mark 1)

;; to point of current buffer:
(set-mark (point))"
files,,,,,
"file test, regular file test","(osicat:file-exists-p ""/tmp/foo"")
(osicat:regular-file-exists-p ""/tmp/foo"")",,"*??*
(file-exists? ""/etc/hosts"")","(.exists (io/file ""/etc/hosts""))","(file-exists-p ""/etc/hosts"")

(file-regular-p ""/etc/hosts"")"
file size,,,"(file-size ""/etc/hosts"")","(.length (io/file ""/etc/hosts""))","(eighth
  (file-attributes ""/etc/hosts""))"
"is file readable, writable, executable",,,"(pair? (filter
    (lambda (x) (eq? x 'read))
    (file-or-directory-permissions
      ""/etc/hosts"")))
(pair? (filter
    (lambda (x) (eq? x 'write))
    (file-or-directory-permissions
      ""/etc/hosts"")))
(pair? (filter
    (lambda (x) (eq? x 'execute))
    (file-or-directory-permissions
      ""/etc/hosts"")))","(.canRead (io/file ""/etc/hosts""))
(.canWrite (io/file ""/etc/hosts""))
(.canExecute (io/file ""/etc/hosts""))",
set file permissions,,,"(file-or-directory-permissions
  ""/tmp/foo""
  #o755)",,"(set-file-modes ""/tmp/foo"" #o755)"
last modification time,,,"(file-or-directory-modify-seconds ""/tmp/foo"")","; Unix epoch in milliseconds:
(.lastModified (java.io.File. ""/tmp/foo""))",
"copy file, remove file, rename file","(cl-fad:copy-file #P""/tmp/foo""
  #P""/tmp/bar"")

(delete-file #P""/tmp/foo"")

(rename-file #P""/tmp/bar""
  #P""/tmp/foo"")",,"(copy-file ""/tmp/foo"" ""/tmp/bar"")
(delete-file ""/tmp/foo"")
(rename-file-or-directory
  ""/tmp/bar""
  ""/tmp/foo"")","(clojure.java.io/copy
  (java.io.File. ""/tmp/foo"")
  (java.io.File. ""/tmp/bar""))
(clojure.java.io/delete-file ""/tmp/foo"")
(.renameTo (java.io.File. ""/tmp/bar"")
  (java.io.File. ""/tmp/foo""))","(copy-file ""/tmp/foo"" ""/tmp/bar"")
(delete-file ""/tmp/foo"")
(rename-file ""/tmp/bar"" ""/tmp/foo"")"
"create symlink, symlink test, get target","(osicat:make-link ""/tmp/hosts"" :target ""/etc/hosts"")",,"(make-file-or-directory-link
  ""/etc/hosts""
  ""/tmp/hosts"")
(link-exists? ""/tmp/hosts"")
*??*",,"(make-symbolic-link ""/etc/hosts"" /tmp/hosts"")
*returns target if symlink or nil:*
(file-symlink-p ""/tmp/hosts"")"
temporary file,,,"(define tmp (make-temporary-file))
(path->string tmp)","; java.io.File:
(java.io.File/createTempFile ""foo"" "".txt"")","(make-temp-file ""foo"")"
directories,,,,,
build pathname,"(make-pathname
  :directory '(:absolute ""etc"")
  :name ""hosts"")",,"; returns path; convert to string
; with path->string:
(build-path ""/etc"" ""hosts"")","(require '[clojure.java.io :as io])

; returns java.io.File;
; convert to string with .getPath:
(io/file ""/etc"" ""hosts"")",
dirname and basename,"(pathname-directory #P""/etc/hosts"")

(pathname-name #P""/etc/hosts"")",,"(let-values (((dir file _)
        (split-path ""/etc/hosts"")))
  #| use dir or file |#)","(require '[clojure.java.io :as io])

(.getParent (io/file ""/etc/hosts""))
(.getName (io/file ""/etc/hosts""))","(file-name-directory ""/etc/hosts"")

(file-name-nondirectory
  ""/etc/hosts"")"
absolute pathname,,,"(simplify-path
  (path->complete-path ""..""))","(.getCanonicalPath (java.io.File. ""..""))","(expand-file-name "".."")"
iterate over directory by file,"(dolist (file (osicat:list-directory ""/tmp"")) (format t ""~a~%"" file))",,"(for ([path (directory-list ""/etc"")])
  (write-string
    (path->string path)))","; file-seq returns java.io.File objects for files
; in arg directory and any subdirs recursively.
(filter #(= (.getParent %) ""/etc"")
  (file-seq (clojure.java.io/file ""/etc"")))","(dolist
  (file (directory-files ""/etc""))
  (print file)))"
make directory,,,"(make-directory* ""/tmp/foo/bar"")","(require '[clojure.java.io :as io])

(.mkdir (io/file ""/tmp/foo""))","*creates parents if 2nd arg non-nil:*
(make-directory ""/tmp/foo/bar"" t)"
recursive copy,,,"(copy-directory/files ""/tmp/foo.d""
  ""/tmp/bar.d"")",,
remove empty directory,"(delete-directory ""/tmp/foo.d"")",,"(delete-directory ""/tmp/foo.d"")","(clojure.java.io/delete-file ""/tmp/foo.d"")","(delete-directory ""/tmp/foo.d"")"
remove directory and contents,"(osicat:delete-directory-and-files ""/tmp/foo.d"")",,"(delete-directory/files ""/tmp/foo.d"")",,"(delete-directory ""/tmp/foo.d"" t)"
directory test,"(osicat:directory-exists-p #P""/etc"")",,"(directory-exists? ""/etc"")","(.isDirectory (io/file ""/etc""))","(file-directory-p ""/etc"")"
processes and environment,,,,,
command line arguments,*posix-argv*,,current-command-line-arguments,*command-line-args*,"*in shebang mode only:*
command-line-args *or* argv"
program name,,,,,
environment variables,"(posix-getenv ""HOME"")",,"(getenv ""HOME"")","(System/getenv ""HOME"")","(getenv ""HOME"")"
user id and name,,,,,
exit,,,,,
external command,"(run-program ""ls"" '( ""/etc""))",,"(require scheme/system)
(system ""ls /etc"")","(.exec (Runtime/getRuntime) ""ls"")","(shell-command ""ls /etc"")"
command substitution,,,,,"(shell-command-to-string ""ls /etc"")"
libraries and namespaces,,,,,
complete example,,,,"$ cat b/a.clj
(ns b.a)
(def x 3)

$ java -cp clojure.jar:. clojure.main
=> (require 'b.a)
=> b.a/x
3",
compile library,"(compile-file ""a.lisp"")",,$ raco make a.rkt,(compile 'a),"$ emacs -batch -Q -L . \
  -f batch-byte-compile a.el"
load library,"(load ""a.lisp"")",,(require a),(require 'a),"(require ""a"")"
load library in subdirectory,"(load ""b/a.lisp"")",,"(require ""b/a.rkt"")",(require 'b.a),
hot patch,"(load ""a.lisp"")",,*none*,(require 'b.a :reload),"(load ""a"")"
load error,*raises* sb-int:simple-file-error,,"*raises* exn:fail:syntax:missing-module. *Because* require *must be 
top-level, the exception cannot be handled.*",*raises* FileNotFoundException,*raises* file-err
library path,*contains working directory at startup*,,"(require setup/dirs)

(get-collects-search-dirs)",*same as path used by java VM*,"; adds directory to library path:
(add-to-list 'load-path (""/home/ed/.emacs.d/lib""))"
library path environment variable,*none*,,,CLASSPATH,EMACSLOADPATH
library path command line option,*none*,,,$ java -cp /foo/bar:/baz/quux,$ emacs -L /foo/bar
namespace declaration,(defpackage :foo),,"(module mconst racket
  (provide pi)
  (define pi 3.14))",(ns mconst),"*No namespaces; a common convention is to use a prefix on all identifiers 
in a library, separated from the rest of the identifier by a hyphen.*"
subnamespace declaration,*none*,,,"; must be in b/a.clj:
(ns b.a)",
namespace separator,:,,:,. *and* /,
import definitions,"; set current *package* to foo and import symbol twiddle from bar:
(defpackage :foo
  (:import-from :bar :twiddle))",,,,
import all definitions in namespace,"; set current *package* to foo and import symbols from bar:
(defpackage :foo
  (:use :bar))",,,,
namespace shadow avoidance,,,,,
identifier shadow avoidance,,,,,
package manager help,,,"$ raco help
$ raco pkg --help
$ raco pkg install --help",,
list installed packages,,,$ raco pkg show --all,,M-x list packages
search packages,"(ql:system-apropos ""time"")",,http://pkgs.racket-lang.org,,M-x list-packages
install package,"; install quicklisp
(load ""~/quicklisp/setup.lisp"")
(ql:quickload ""osicat"")",,$ raco pkg install --deps search-auto srfi,,"*Use* M-x list-packages *to bring up the package menu;* i *to select a 
package to install, and* x *to install it.*"
remove package,,,$ raco pkg remove srfi,,"*In the package menu, use* d *to select a package to uninstall and* x *to 
uninstall it.*"
objects,,,,,
define class,"(defclass rectangle ()
  (
    (height
      :accessor rectangle-height
      :initarg :height)
    (width
      :accessor rectangle-width
      :initarg :width)))",,"(define rectangle%
  (class object%
    (init width)
    (init height)
    (super-new)
    (define curr-height height)
    (define curr-width width)
    (define/public (get-height)
      curr-height)
    (define/public (get-width)
      curr-width)
    (define/public (set-height ht)
      (set! curr-height ht))
    (define/public (set-width wd)
      (set! curr-width wd))))","*use java:*
public class Rectangle {
  public float height;
  public float width;
  public Rectangle(float h, float w) {
    this.height = h;
    this.width = w;
  }
  public void setHeight(float h) {
    this.height = h;
  }
  public void setWidth(float w) {
    this.width = w;
}",
make instance,"(make-instance 'rectangle
  :height 3
  :width 7)",,"(define rect
  (new rectangle
    (height 7)
    (width 3)))","(import 'Rectangle)
(def r (Rectangle. 7 3))",
read attribute,(rectangle-height rect),,(send rect get-height),(.height r),
write attribute,(setf (rectangle-height rect) 4),,(send rect set-height 4),(.setHeight r 8),
define method,"(defmethod area ((figure rectangle))
  (* (rectangle-height figure)
    (rectangle-width figure)))",,"(define/public (area)
  (* curr-height curr-width))","(defmulti area class)
(defmethod area Rectangle [r] (* (.height r) (.width r)))",
invoke method,(area rect),,(send rect area),(area r),
universal superclass,standard-object t,,object%,Object,
multiple inheritance,yes,,no,*only one direct superclass; can implement multiple interfaces*,
lisp macros,,,,,
backquote and comma,"(setq op '+)
(eval `(,op 1 1))",,"(define op '+)
(eval `(,op 1 1))
(eval (quasiquote ((unquote op) 1 1)))","(def op +)
(eval `(,op 1 1))","(setq op '+)
(eval `(,op 1 1))"
defmacro,"(defmacro rpn (arg1 arg2 op)
  (list op arg1 arg2))",,(define-syntax-rule (rpn arg1 arg2 op) (op arg1 arg2)),"(defmacro rpn [arg1 arg2 op]
  (list op arg1 arg2))","(defmacro rpn (arg1 arg2 op)
  (list op arg1 arg2))"
defmacro w/ backquote,"(defmacro rpn (arg1 arg2 op)
  `(,op ,arg1 ,arg2))",,"(define-syntax-rule (rpn3 arg1 arg2 op)
  (eval ‘(,op ,arg1 ,arg2)))",(defmacro rpn [arg1 arg2 op] `(~op ~arg1 ~arg2)),"(defmacro rpn (arg1 arg2 op)
  `(,op ,arg1 ,arg2))"
macro predicate,(macro-function rpn),,*none*,*none*,*none*
macroexpand,(macroexpand ’(rpn 1 2 +)),,(syntax-object->datum (expand-to-top-form '(rpn 1 2 +))),(macroexpand '(rpn 1 2 +)),(macroexpand '(rpn 1 2 +))
splice quote,"(defmacro add ( &rest args )
  `(+ ,@args))",,(define-syntax-rule ( add first …) (+ first …)),(defmacro add [ & args ] `(+ ~@args)),"(defmacro add ( &rest args )
  `(+ ,@args))"
recursive macro,"(defmacro add (a &rest b)
  `(if (null ',b)
    (+ ,a)
    (+ ,a (add ,@b))))",,"(define-syntax add (syntax-rules ()
  [(add x) x]
  [(add x y) (+ x y)]
  [(add x y …) (+ x (add y …))]))",(defmacro add ([a] `(+ ~a)) ([a & b] `(+ ~a (add ~@b)))),"(defmacro add (a &rest b)
  `(if (null ',b)
    (+ ,a)
    (+ ,a (add ,@b))))"
hygienic,*no*,,*yes*,*with* # *suffix*,*no*
local values,"(defmacro square-sum (x y)
  (let ((sum (gensym)))
    `(let ((,sum (+ ,x ,y)))
      (* ,sum ,sum))))",,"(define-syntax-rule (square-sum x y)
  (let ((sum (+ x y)))
    (* sum sum)))",(defmacro two-list [x] `(let [arg# ~x] (list arg# arg#))),"(defmacro square-sum (x y)
  (let ((sum (gensym)))
    `(let ((,sum (+ ,x ,y)))
      (* ,sum ,sum))))"
reflection,,,,,
inspect type,"(type-of '(1 2 3))
(typep '(1 2 3) 'list)
(listp '(1 2 3))",,(list? '(1 2 3)),"(= (type 1) java.lang.Long)
(= (class 1) java.lang.Long)
(integer? 1)","(type-of [1 2 3] 'vector)
(typep [1 2 3] 'vector)
(vectorp [1 2 3])"
instance-of,,,,instance?,
basic types,"*logical and numeric:*
bignum bit complex double-float fixnum float integer long-float nil null 
number ratio rational real short-float signed-btye single-float t 
unsigned-byte

*symbols and strings:*
base-character character extended-character keyword simple-string 
standard-char string symbol

*data structures:*
array atom bit-vector cons hash-table list sequence simple-array 
simple-bit-vector simple-vector vector

*other:*
compiled-function function package pathname random-state stream",,,,
sequence data types,list vector,,list vector hash-table string input-port range,all collections and strings,list vector
get docstring,(describe #'mapcar),,*none*,(doc map),(describe-function 'mapcar)
define function with docstring,"(defun add (x y)
  ""add x and y""
  (+ x y))",,*none*,"(defn add ""add x and y"" [x y]
  (+ x y))","(defun add (x y)
  ""add x and y""
  (+ x y))"
apropos and documentation search,*none*,,*none*,"(apropos #""^add$"")
(find-doc #""add \S+ and \S+"")","(apropos ""^add$"")
*none*"
java interoperation,,,,,
new,,,,"(def rnd (new java.util.Random))
(def rnd (java.util.Random.))",
method,,,,"(. rnd nextFloat)
(.nextFloat rnd)
(. rnd nextInt 10)
(.nextInt rnd 10)",
class method,,,,(Math/sqrt 2),
chain,,,,,
import,,,,"(import '(java.util Random))
(def rnd (Random.))",
to java array,,,,"(to-array '(1 2 3))
(into-array Integer '(1 2 3))",
,__________________________________________,,__________________________________________,__________________________________________,__________________________________________
